Date,Open,High,Low,Close,Adj Close,Volume
2018-06-05,135600,136000,132800,134800,133972.3281,335760
2018-06-07,135000,136400,134800,136000,135164.9375,390905
2018-06-08,136000,141600,136000,140200,139339.1563,941455
2018-06-11,140200,142400,139000,142200,141326.875,689250
2018-06-12,142400,143800,140800,143400,142519.5,621335
2018-06-14,143800,145000,141000,141400,140531.7813,794555
2018-06-15,141000,141200,137400,138000,137152.6719,701510
2018-06-18,138000,139000,137200,138800,137947.7344,529295
2018-06-19,138000,138800,137600,137600,136755.1094,551610
2018-06-20,137800,138400,137400,137800,136953.8906,532395
2018-06-21,137000,140600,136800,139800,138941.6094,589410
2018-06-22,138000,144800,138000,144600,143712.125,801570
2018-06-25,145600,150000,145400,149600,148681.4375,1276330
2018-06-26,148400,149200,146000,147000,146097.4063,537640
2018-06-27,149400,149600,147800,147800,146892.4688,436380
2018-06-28,147600,150200,145200,149400,148482.6563,682685
2018-06-29,150000,152800,149600,152600,151663.0156,779575
2018-07-02,153000,153000,149000,150200,149277.7656,539590
2018-07-03,151800,152600,148600,149400,148482.6563,431525
2018-07-04,153800,155800,152000,153600,152656.8594,899695
2018-07-05,151200,153800,151200,153000,152060.5469,286595
2018-07-06,151000,151600,149200,149800,148880.2031,409335
2018-07-09,149800,155800,149600,151000,150072.8438,471880
2018-07-10,151400,153600,151200,152000,151066.7031,375645
2018-07-11,152600,154200,151400,153800,152855.6563,434425
2018-07-12,155000,156400,152800,156400,155439.6875,479835
2018-07-13,156000,156400,153000,154200,153253.1875,379850
2018-07-16,154200,154600,153400,154200,153253.1875,288625
2018-07-17,153800,153800,151000,151800,150867.9219,264885
2018-07-18,152400,154200,151800,152800,151861.7969,158810
2018-07-19,154400,156000,152600,153000,152060.5469,252110
2018-07-20,153000,154400,151000,154000,153054.4219,252245
2018-07-23,154200,155400,153000,154800,153849.5,407150
2018-07-24,155000,155200,148400,149000,148085.125,422515
2018-07-25,151800,151800,148400,149200,148283.8906,472905
2018-07-26,150400,152200,143200,150200,149277.7656,1121260
2018-07-27,147000,150200,146600,150200,149277.7656,569095
2018-07-30,149400,149600,145200,146000,145103.5313,543330
2018-07-31,145200,145600,142400,143200,142320.7344,618420
2018-08-01,143600,145600,143000,145600,144706,514795
2018-08-02,145600,147600,144200,145600,144706,404885
